CommitID,Commit Message
1047f93f6886aaa421c4db73274ce384de1f82e1,Added solve methods using double[][] to linear algebra decomposition solvers.
105dd1ff8f20b84371b9721f5f55d9bec566321c,"Refactored event listening, fixed group invalidation, fixed inheritance of rights from main wiki, added unit test."
1061cf5c310f954ffbf96a3295325b5e2eeb5d9f,TEZ-3813. Reduce Object size of MemoryFetchedInput for large jobs (Muhammad Samir Khan via jeagles)
106c2df20cfe5319968ede85a06b3d89fdb0f954,"Multiple code improvements - common-java:DuplicatedBlocks, squid:S00112, squid:S134, squid:MethodCyclomaticComplexity, squid:HiddenFieldCheck, squid:S1172"
107763f4087fa654baabffcba756aaf9000b7603,Added new CManager class and started basework for manage AI. Modified Player and Person class inheritance.
10b569a4ab589f0a3c4c79d272a0d2fb7b59868b,CHANGED: Changed the JUpload to use the TempFileService instead of creating a task in the resource class. CHANGED: Changed DcStorage's addFile() method for URL source to use temp File service. CHANGED: Deleted old temp file task classes. CHANGED: The rate calculation algorithm in StopWatch now provides valid values when time elapsed is > 0 millis. Previously it did only when > 0 sec. NEW: Created a SavePartStream task class that extends SaveInputStreamTask. Refactored code in latter to allow for code reuse. CHANGED: Increased the width of the file size column on data files page.
10c07317c03d62168391cbc10b4d0ce64f4a7f94,Don't allow inheritance in glue code (stepdefs and hooks). Also fixes #257 in a more encapsulated way.
110412297925415549cca50cfc0be78c30360171,more abstraction in scheduler
114d188079ca369cfd658bebfa7ce2689a777aa4,Issue 280: added support to parse the ovf envelope for a vapp template so that we can get to os and size data
1169bb2fde841f9cb139178a36bcac5a32f80e6e,HSEARCH-2581 Add an abstraction layer over ES requests
11bb40a6da5d71b0f2ab8cde23d3f610d35df538,"continued cleanup, made tables joined inheritance and matched nullable/sizes"
11d606062851becc59399b65966ab2d44687f89c,Renamed SingleTaskRenderingExecutor to DefaultRenderingExecutor and simplified the code. GEOT-3784: reduced coupling between JMapPane and MapLayerTable. GEOT-3746: work towards map pane with multiple backing images GEOT-3780: start of new JLayeredMapPane (not usable yet) Simplified RenderingTask class and RenderingExecutor interface. Removed renderer setter from JMapFrame (assumes StreamingRenderer instead) Removed unnecessary event constants and related methods in listeners. More unit tests.
11df8f312ab1a2b5fa3313c9cd98bc16065351f3,Increased the size of the rule dump column.
123e94cfed0336424c7e83ea85f896237c4f55eb,Use Is Filters for Collections of Size One
1267cb958c507f123ab135cac638768009dc84b5,Add support for dynamic table size changes to HPACK Encoder.
126a9dcbfd19f61705a999567a0c6c6ca5e9a82d,Some minor abstraction in SPARQLParserBase to make it easier to extend sub-query parsing
126b82ac1100a4eadcd55ea2f77d37652f9c570f,"Changed to a dynamic buffer when processing .jar files based on the size of the .jar file Added the getByteArrayOutputStream() as helper method Extended the processZipFile(File, ZipInputStream) to take nested .jar files into account"
126e25cd2152990cfaccc430eb9850d7ae720dbc,Add possibility to set view size + example
126e76bc657149b5e25eb49828a5eb91d11f66bb,More work on abstraction.
129cd775ad8e28e2c6629e774ce2f2049f173557,"=- Add TPC-H Data as test dependency (automatically downloads from S4 on first execution) - Update avg function to divide using double instead of integers - Update classpath file system to return correct size information (to allow cp use of Parquet files) - Enhance BaseTestQuery to support all query types (sql, physical logical) and execution from file - Add TPC-H queries updated to use TPC-H test Data (disabled) - Update field name matching to be case insensitive. - Treat CHAR literals like VARCHAR in Optiq - Add clear as part of VectorUtil - Add hash aggregation physical plan executions using tpch data."
